source_coords,dest1_coords,dest2_coords,source_D1_distance(in miles),source_D1_time(in minutes),source_D2_distance(in miles),source_D2_time(in minutes),total_shared_distance,total_shared_time,Matched_NoMatched
"(-73.785924, 40.645134)","(-73.85929871, 40.73467636)", ,11.01000,16.050, , ,,,"(-73.85929871, 40.73467636):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.85953522, 40.81314087)","(-73.83033752, 40.76015472)",17.91000,26.110,10.33000,14.470,23.38500,21.760,Matched
"(-73.785924, 40.645134)","(-73.86003876, 40.66199875)", ,6.54000,11.200, , ,,,"(-73.86003876, 40.66199875):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.86031342, 40.72017288)","(-73.81424713, 40.68709183)",8.89000,13.910,4.45000,8.820,11.40500,13.270,Matched
"(-73.785924, 40.645134)","(-73.86042786, 40.74491119)","(-73.82338715, 40.72462082)",10.47000,16.310,7.82000,10.740,15.97500,15.010,Matched
"(-73.785924, 40.645134)","(-73.86114502, 40.67824173)", ,6.18000,9.430, , ,,,"(-73.86114502, 40.67824173):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.86177826, 40.76844025)", ,11.65000,15.820, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.7891922, 40.64242172)']"
"(-73.785924, 40.645134)","(-73.86188507, 40.76845169)", ,11.66000,15.840, , ,,,"(-73.86188507, 40.76845169):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.86188507, 40.7685318)","(-73.7951889, 40.67710876)",11.66000,15.850,3.79000,7.160,11.71500,16.800,Matched
"(-73.785924, 40.645134)","(-73.86193848, 40.76844025)","(-73.72169495, 40.78740692)",11.66000,15.850,14.51000,21.100,19.58500,26.060,Matched
"(-73.785924, 40.645134)","(-73.86351776, 40.74695206)","(-73.82080841, 40.75878143)",10.87000,16.350,10.86000,15.550,19.03500,18.200,Matched
"(-73.785924, 40.645134)","(-73.86463928, 40.77024841)", ,11.78000,16.320, , ,,,"(-73.86463928, 40.77024841):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.86490631, 40.72285461)","(-73.83773041, 40.6896553)",9.22000,14.660,7.21000,10.940,14.54000,14.400,Matched
"(-73.785924, 40.645134)","(-73.86492157, 40.77042007)", ,11.80000,16.390, , ,,,"(-73.86492157, 40.77042007):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.86492157, 40.77043152)","(-73.83651733, 40.71903229)",11.80000,16.390,7.53000,10.660,15.72500,15.840,Matched
"(-73.785924, 40.645134)","(-73.86506653, 40.7705307)", ,11.81000,16.430, , ,,,"(-73.86506653, 40.7705307):Delay constraint failed"
